id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
228,56727,Pachi-Slot Aruze Ōkoku 5,NULL,2001-11-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
331,39911,Swat Police,NULL,2001-05-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
396,165517,Beauty or the Beast,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
494,50559,Ottifanten: Kommando Stortebeker,NULL,2001-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
774,91549,Dino Dave,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
961,37448,One Piece: Niji no Shima Densetsu,NULL,2001-10-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1074,71228,CIA Operative: Solo Missions,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
1107,95502,The Labyrinth Plus! Edition,NULL,2001-10-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1113,37350,Uchuu Senkan Yamato,NULL,2001-03-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1233,93117,Xiao Ao Jiang Hu 2: Wu Yue Jian Pai,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1296,43800,Buttsubushi,NULL,2001-04-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1658,7623,Nancy Drew: Treasure in the Royal Tower,NULL,2001-08-01 00:00:00.000,2,NULL,NULL,NULL,60.0932,6
2234,72915,beatmania IIDX 6th style,NULL,2001-07-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2266,41468,Magic Carousel,NULL,2001-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2368,81459,Puyo Pop,NULL,2001-10-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2420,79739,Dr. Lunatic Supreme with Cheese,NULL,2001-09-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2825,2850,Aidyn Chronicles: The First Mage,NULL,2001-03-14 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
2842,151935,Onslaught,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2969,37369,Kidou Senshi Gundam Vol. 2 Jaburo,NULL,2001-09-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3175,71277,EVE Zero: Ark of the Matter,NULL,2001-03-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3274,49987,Trouballs,NULL,2001-11-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3365,6382,Dokapon: Monster Hunter,NULL,2001-08-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3537,3995,Shaun Palmer's Pro Snowboarder,NULL,2001-11-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3685,150114,Riddle in Riddle,NULL,2001-03-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4249,53262,Kronville: Stolen Dreams,Kronville - Stolen Dreams takes you to the edge of reality in a captivating hidden object game! Twelve children vanish from Kronville and their teacher Astrid is desperate for your help. An interactive encounter between real-life and mind-boggling dreams demands every bit of your attention. Can you figure out what's going on?,2001-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4473,165485,Pumpy,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4988,19422,Theme Park Inc,NULL,2001-01-29 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
5095,37559,Wonder Classic,NULL,2001-02-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5428,39487,The Crystal of Kings,"Once long ago, the land was governed by kings who wielded crystals, orbs of magic that rival the power of the gods. Amongst them was an ambitious man named Nightspirit, who grew corrupt with his crystal's power. Dubbing himself the Crystal of Kings, he unleashed a hellish army of monsters in an attempt to pillage the land's remaining crystals for himself. The just and elderly king of Estorea entrusted his country's crystal to his loyal knight, Cocco. He begs him to band together with the other kingdoms' warriors to destroy the evil tyrant.",2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5598,131507,Namco Museum,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5680,12435,Hundred Swords,NULL,2001-02-15 00:00:00.000,NULL,NULL,71.0000,1,NULL,NULL
6122,3852,Cel Damage,NULL,2001-11-15 00:00:00.000,5,NULL,50.8000,5,67.1183,10
6458,37363,Last Alive,NULL,2001-08-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6518,37370,Kidou Senshi Gundam Vol. 1 SIDE7,NULL,2001-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6527,70658,Harukanaru Toki no Naka de 2,NULL,2001-09-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6589,108939,Digimon Tamers: Pocket Culumon,NULL,2001-05-17 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
6735,43253,RC Revenge Pro,NULL,2001-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7258,9701,Blue's Clues: Blue's Big Musical,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7453,58529,Memorial Series: Sunsoft vol. 3,NULL,2001-12-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7886,43275,CART Fury,NULL,2001-06-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7980,131377,Vie: Itsuka no Natsu no Hi.,"Main character is a third grader attending basketball club. One day on the way to morning training he saves a girl from a rampage car, but gets to the hospital instead. The injuries are insignificant and are to fully heal in a week time, but there are so many pretty doctors and nurses around that it would be a waste to miss on such opportunity!",2001-03-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8040,150148,Chain Ushinawareta Ashiato,"Takeshi Shinonome is a private detective. One day, he meets a girl named Ayumu out in the rain. Ayumu's sister, Marie, and Takeshi went to the same high school. She asks him to investigate rumors concerning her husband. Takeshi finds evidence that her husband is having an affair with Ako Sonomura. Later, Ayumu's father asks Takeshi to investigate her private life. He is a well known politician and is afraid of having a scandal during the upcoming general election.

Soon after Takeshi starts investigating, Ayumu is confronted with an extremely dangerous situation. Is her father's enemy behind this? As Takeshi tries to find out who is putting Ayumu in danger, he discovers a new drug is behind the entire problem. Murders become rampant. The new drug is constantly tied to the murders, but there is not enough evidence to prove it. Will the beautiful girls he becomes involved with help him solve the mystery?",2001-06-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8130,79984,Myth III: The Wolf Age,"Set one thousand years before the events of Myth: The Fallen Lords, Myth III: The Wolf Age tells the story of the warrior Connacht before he became known as The Balor (the main antagonist of Myth: The Fallen Lords). It recounts his ascension to war hero and emperor and his campaign against the supernatural warlord The Leveler.",2001-11-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8173,49885,Ronaldo V-Soccer,NULL,2001-07-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8230,101032,Shadow Of The Lost Citadel,NULL,2001-01-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9167,49790,Sangokushi,NULL,2001-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9358,39791,Spikers Battle,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9724,75507,PachiSlot Aruze Kingdom - Delsol 2,NULL,2001-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9832,8139,Heroes Chronicles: Revolt of the Beastmasters,"In Revolt of the Beastmasters, the Ancestors send Tarnum to free the Mudlanders from Erathian control. Even after hundreds of years of slavery, the Mudlanders are determined to overthrow their masters. Tarnum appoints the Gnoll, Brellick, as a captain and the Witch, Adamina, as his advisor. He also trains Droglo, a human boy who was raised by Mudlanders. The Mudlanders defeat opposition from Lord Onsten and Baron Paglon before Mad King Gryphonheart of Erathia takes the rebellion seriously.

Mad King Gryphonheart sends his son Niven to put down the rebellion in Earl Rambert's territory, though he secretly thinks his son will fail. Tarnum captures Prince Niven and shows him what slavery has done to the Mudlanders. Niven eventually sides with Tarnum, and he is released from his prison. The Mudlanders force Rambert to retreat to another castle and leave many of his prisoners behind. When Rambert threatens to kill the remaining prisoners, including Adamina, if Tarnum does not return Niven, Tarnum sends Brellick, Droglo, and Niven to make the exchange after harming Niven so that he looks like a true prisoner. However, Rambert ambushes their army and kills Brellick. Droglo then kills Rambert, and the Mudlanders soon win the battle. To prepare for the final battles against Mad King Gryphonheart, Tarnum sends Droglo to request the aid of the Barbarians of Krewlod (the Wastelands).

Adamina and the other wisewomen name the new Mudlander nation ""Tatalia,"" a word which means ""community"" in the forgotten Mudlander language now only known to witches. In Erathia, the nobles displeased with Mad King Gryphonheart name Niven as their new king. King Niven mounts an army to join the army of Tatalia in the fight against the old king's remaining supporters. Droglo finally discovers Tarnum's identity as the Immortal Hero, but accepts that he has changed. Tarnum and Mad King Gryphonheart meet in battle and deal each other seemingly mortal blows. However, Tarnum is immortal, and he slips away before his body can be buried. Droglo becomes the new leader of Tatalia.",2001-06-01 00:00:00.000,4,NULL,NULL,NULL,30.9320,7
9905,11405,Disciples: Sacred Lands Gold,NULL,2001-02-01 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,1
9945,920,Trainz,NULL,2001-11-01 00:00:00.000,1,NULL,87.0000,1,NULL,NULL
10151,43634,Mad Maestro!,NULL,2001-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10153,172724,Wizardry Chronicle,NULL,2001-03-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10300,50024,Prince Naseem Boxing,NULL,2001-09-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10501,81338,The Repossessor,"You play the role of Death, the Grim Reaper, who has come to Reality to reclaim the soul of Michael Gower. Who's that? Michael Gower is better known as the zombie who is currently running for mayor of Reality.",2001-08-26 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
10584,49825,Tanbi Musou: Meine Liebe,NULL,2001-05-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10764,75862,Pokémon Trading Card Game 2: Here comes Team GR!,"Pokémon Card GB2: Here Comes Team GR! is the Japan-only sequel to Pokémon Trading Card Game. The game story revolves around a new villainous team, Team Great Rocket, and contains nearly all of the cards from Base Set, Jungle, Fossil, and Team Rocket. A promotional Lugia card was included with the game. 
 
The game adds many new features not present in the original, such as new cards, the ability to play as a female character, a much larger in-game world, and a more developed story (rather than just collect cards and defeat the Grand Masters, the player must defeat Team Great Rocket).",2001-03-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10985,191478,Metal Slug X,NULL,2001-01-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11010,50038,Keep the Balance,NULL,2001-12-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11043,37362,Meitantei Conan: Yuugure no Ouju,NULL,2001-05-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11303,50060,Pop'n pop globos,NULL,2001-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11402,37312,Tonpuso,NULL,2001-07-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11469,49331,Lucky Luke: Wanted!,NULL,2001-12-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11548,9428,Age of Sail II,NULL,2001-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11549,47613,Pachi-Slot Aruze Oukoku: e-CUP,NULL,2001-04-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11880,3838,Burnout,NULL,2001-11-01 00:00:00.000,8,NULL,80.0000,2,61.0300,22
11972,93024,Vet Emergency,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
12083,140470,Dinosaur World,You look at some dinosaurs and plants.,2001-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12355,69252,Technictix,NULL,2001-01-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12413,18904,Star Trek: Armada 2,NULL,2001-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12496,39932,Thunder Heroes,NULL,2001-06-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12747,49948,Rescue Heroes: Fire Frenzy,NULL,2001-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12757,79351,Simple 500 Series Vol. 2: The Misshitsu Kara no Dasshutsu,NULL,2001-04-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13213,75466,Gals Fighters (Best Collection),NULL,2001-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
